Metadata_JCP2022	Metadata_InChIKey	Metadata_pert_iname
JCP2022_030621	HJORMJIFDVBMOB-UHFFFAOYSA-N	(R)-(-)-rolipram
JCP2022_030621	HJORMJIFDVBMOB-UHFFFAOYSA-N	(S)-(+)-rolipram
JCP2022_030621	HJORMJIFDVBMOB-UHFFFAOYSA-N	rolipram
JCP2022_046239	KPYSYYIEGFHWSV-UHFFFAOYSA-N	(R)-baclofen
JCP2022_046239	KPYSYYIEGFHWSV-UHFFFAOYSA-N	baclofen
JCP2022_059014	NHJLKJABMYANGP-UHFFFAOYSA-N	1-azakenpaullone
JCP2022_052266	LXBIFEVIBLOUGU-UHFFFAOYSA-N	1-deoxymannojirimycin
JCP2022_014114	CXUCKELNYMZTRT-UHFFFAOYSA-N	1-EBIO
JCP2022_112978	ZFPGARUNNKGOBB-UHFFFAOYSA-N	1-ethyl-2-pyrrolidone
JCP2022_009384	BXWNKGSJHAJOGX-UHFFFAOYSA-N	1-hexadecanol
JCP2022_105714	XSHQBIXMLULFEV-UHFFFAOYSA-N	1-naphthyl-PP1
JCP2022_012303	CNNRPFQICPFDPO-UHFFFAOYSA-N	1-octacosanol
JCP2022_043547	KBPLFHHGFOOTCA-UHFFFAOYSA-N	1-octanol
JCP2022_013525	CUQCMXFWIMOWRP-UHFFFAOYSA-N	1-phenylbiguanide
JCP2022_073112	QFQZKISCBJKVHI-UHFFFAOYSA-N	1,2,3,4,5,6-hexabromocyclohexane
JCP2022_103565	XGVBNFXVLFKPCO-UHFFFAOYSA-N	10-deacetylbaccatin
JCP2022_028998	HAWSQZCWOQZXHI-UHFFFAOYSA-N	10-hydroxycamptothecin
JCP2022_085961	SVXDHPADAXBMFB-UHFFFAOYSA-N	10058-F4
JCP2022_068558	PHEDXBVPIONUQT-UHFFFAOYSA-N	12-O-tetradecanoylphorbol-13-acetate
JCP2022_079629	RODUKNYOEVZQPR-UHFFFAOYSA-N	1400W
JCP2022_095398	VPEJMHYFGCNXLM-UHFFFAOYSA-N	17-hydroxyprogesterone-caproate
JCP2022_107322	YAZSBRQTAHVVGE-UHFFFAOYSA-N	2-aminobenzenesulfonamide
JCP2022_007211	BLZVCIGGICSWIG-UHFFFAOYSA-N	2-APB
JCP2022_069590	PMMURAAUARKVCB-UHFFFAOYSA-N	2-deoxyglucose
JCP2022_036935	IRKXGKIPOMIQOD-UHFFFAOYSA-N	2-fluorofucose
JCP2022_016454	DKEZDPGUJMMUCC-UHFFFAOYSA-N	2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione
JCP2022_016454	DKEZDPGUJMMUCC-UHFFFAOYSA-N	hydroxysafflor-yellow-A
JCP2022_012845	CQOQDQWUFQDJMK-UHFFFAOYSA-N	2-methoxyestradiol
JCP2022_090768	UPWGQKDVAURUGE-UHFFFAOYSA-N	2-oleoylglycerol
JCP2022_046098	KPGXRSRHYNQIFN-UHFFFAOYSA-N	2-oxoglutaric-acid
JCP2022_048609	LCTONWCANYUPML-UHFFFAOYSA-N	2-oxopropanoate
JCP2022_112785	ZEMGGZBWXRYJHK-UHFFFAOYSA-N	2-thiouracil
JCP2022_017914	DSLRVRBSNLHVBH-UHFFFAOYSA-N	2,5-furandimethanol
JCP2022_082442	SDGKUVSVPIIUCF-UHFFFAOYSA-N	2,6-dimethylpiperidine
JCP2022_055119	MMPAUXMIDJWGFO-UHFFFAOYSA-N	2'-MeCCPA
JCP2022_060093	NNDIXBJHNLFJJP-UHFFFAOYSA-N	20-HETE
JCP2022_048129	LAFYUFZYMDYGLR-UHFFFAOYSA-N	20-hydroxyecdysone
JCP2022_029699	HEOCBCNFKCOKBX-UHFFFAOYSA-N	3-(4-methylbenzylidene)camphor
JCP2022_073352	QGXBDMJGAMFCBF-UHFFFAOYSA-N	3-alpha-hydroxy-5-beta-androstan-17-one
JCP2022_073352	QGXBDMJGAMFCBF-UHFFFAOYSA-N	androsterone
JCP2022_073352	QGXBDMJGAMFCBF-UHFFFAOYSA-N	epiandrosterone
JCP2022_027411	GSCPDZHWVNUUFI-UHFFFAOYSA-N	3-amino-benzamide
JCP2022_058690	NFSTZPMYAZRZPC-UHFFFAOYSA-N	3-bromo-7-nitroindazole
JCP2022_070535	PRRZDZJYSJLDBS-UHFFFAOYSA-N	3-bromopyruvate
JCP2022_014943	DBZQFUNLCALWDY-UHFFFAOYSA-N	3-deazaadenosine
JCP2022_064738	OMKHWTRUYNAGFG-UHFFFAOYSA-N	3-deazaneplanocin-A
JCP2022_041983	JTEDVYBZBROSJT-UHFFFAOYSA-N	3-indolebutyric-acid
JCP2022_114766	ZPBYVFQJHWLTFB-UHFFFAOYSA-N	3-methyladenine
JCP2022_044291	KFLWBZPSJQPRDD-UHFFFAOYSA-N	3,4-methylenedioxy-beta-nitrostyrene
JCP2022_090579	UOWGYMNWMDNSTL-UHFFFAOYSA-N	3PO
JCP2022_072582	QCTBMLYLENLHLA-UHFFFAOYSA-N	4-(aminomethyl)benzoic-acid
JCP2022_032292	HSMNQINEKMPTIC-UHFFFAOYSA-N	4-aminohippuric-acid
JCP2022_004940	AZYDQCGCBQYFSE-UHFFFAOYSA-N	4-CMTB
JCP2022_023763	FYGDTMLNYKFZSV-UHFFFAOYSA-N	4-galactosyllactose
JCP2022_074465	QMNUDYFKZYBWQX-UHFFFAOYSA-N	4-HQN
JCP2022_029676	HELCSESNNDZLFM-UHFFFAOYSA-N	4-IBP
JCP2022_115505	ZTCJXHNJVLUUMR-UHFFFAOYSA-N	4-iodo-6-phenylpyrimidine
JCP2022_101194	WUADCCWRTIWANL-UHFFFAOYSA-N	4-methylgenistein
JCP2022_089172	UGYXPZQILZRKJJ-UHFFFAOYSA-N	4-methylhistamine
JCP2022_080597	RTHHSXOVIJWFQP-UHFFFAOYSA-N	4-mu-8C
JCP2022_064847	OMZYUVOATZSGJY-UHFFFAOYSA-N	4,5,6,7-tetrabromobenzotriazole
JCP2022_005264	BBQRBOIMSKMFFO-UHFFFAOYSA-N	4E1RCat
JCP2022_044329	KFRKRECSIYXARE-UHFFFAOYSA-N	4EGI-1
JCP2022_070586	PRXXYMVLYKJITB-UHFFFAOYSA-N	4SC-202
JCP2022_113243	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	5-aminolevulinic-acid
JCP2022_025400	GHASVSINZRGABV-UHFFFAOYSA-N	5-fluorouracil
JCP2022_060285	NOEGNKMFWQHSLB-UHFFFAOYSA-N	5-HMF
JCP2022_018378	DUXZAXCGJSBGDW-UHFFFAOYSA-N	5-hydroxymethyl-tolterodine
JCP2022_048678	LDCYZAJDBXYCGN-UHFFFAOYSA-N	5-hydroxytryptophan
JCP2022_044900	KIVUHCNVDWYUNP-UHFFFAOYSA-N	6-aminochrysene
JCP2022_058801	NGHVIOIJCVXTGV-UHFFFAOYSA-N	6-aminopenicillanic-acid
JCP2022_061722	NWBJYWHLCVSVIJ-UHFFFAOYSA-N	6-benzylaminopurine
JCP2022_021376	FLIJLHAXSUEBCW-UHFFFAOYSA-N	7-aminocephalosporanic-acid
JCP2022_067441	PBCZSGKMGDDXIJ-UHFFFAOYSA-N	7-hydroxystaurosporine
JCP2022_070256	PQCAUHUKTBHUSA-UHFFFAOYSA-N	7-nitroindazole
JCP2022_057930	NBOLKVNBILJYTB-UHFFFAOYSA-N	8-bromo-cAMP
JCP2022_102126	WZDDIIOSSFYOPQ-UHFFFAOYSA-N	8-bromo-cGMP
JCP2022_003633	ASXGJMSKWNBENU-UHFFFAOYSA-N	8-hydroxy-DPAT
JCP2022_104002	XJGFWWJLMVZSIG-UHFFFAOYSA-N	9-aminoacridine
JCP2022_023138	FUXVKZWTXQUGMW-UHFFFAOYSA-N	9-aminocamptothecin
JCP2022_095589	VQGBOYBIENNKMI-UHFFFAOYSA-N	A-317491
JCP2022_006868	BKCDJTRMYWSXMC-UHFFFAOYSA-N	A-366
JCP2022_081965	SAQMCVDGOIRQTC-UHFFFAOYSA-N	A-381393
JCP2022_055118	MMPAULQSJLVKHP-UHFFFAOYSA-N	A-438079
JCP2022_095884	VRVJKILQRBSEAG-UHFFFAOYSA-N	A-485
JCP2022_007842	BPNUQXPIQBZCMR-UHFFFAOYSA-N	A-674563
JCP2022_040627	JLUUJHIQVIXTGT-UHFFFAOYSA-N	A-7
JCP2022_013259	CTESJDQKVOEUOY-UHFFFAOYSA-N	A-769662
JCP2022_093968	VHKBTPQDHDSBSP-UHFFFAOYSA-N	A-803467
JCP2022_070399	PQYCRDPLPKGSME-UHFFFAOYSA-N	A-804598
JCP2022_026507	GMVNBKZQJFRFAR-UHFFFAOYSA-N	A-839977
JCP2022_000207	ABACVOXFUHDKNZ-UHFFFAOYSA-N	A-867744
JCP2022_007732	BOZRFEQDOFSZBV-UHFFFAOYSA-N	A-922500
JCP2022_007732	BOZRFEQDOFSZBV-UHFFFAOYSA-N	A922500
JCP2022_017500	DPYTYQFYDLYWHZ-UHFFFAOYSA-N	A-939572
JCP2022_016288	DJKJVWJQAVGLHJ-UHFFFAOYSA-N	A-987306
JCP2022_075182	QQGWEXFLMJGCAL-UHFFFAOYSA-N	A205804
JCP2022_029144	HBPXWEPKNBHKAX-UHFFFAOYSA-N	A66
JCP2022_070982	PUHSRMSFDASMAE-UHFFFAOYSA-N	A740003
JCP2022_005229	BBLXLHYPDOMJMO-UHFFFAOYSA-N	AB-423
JCP2022_053211	MCGSCOLBFJQGHM-UHFFFAOYSA-N	abacavir
JCP2022_070878	PTRATZCAGVBFIQ-UHFFFAOYSA-N	abametapir
JCP2022_001689	AIWRTTMUVOZGPW-UHFFFAOYSA-N	abarelix
JCP2022_063236	OEDSFMUSNZDJFD-UHFFFAOYSA-N	ABBV-744
JCP2022_009884	CAOTVXGYTWCKQE-UHFFFAOYSA-N	ABC-294640
JCP2022_092591	UZWDCWONPYILKI-UHFFFAOYSA-N	abemaciclib
JCP2022_091819	UVIQSJCZCSLXRZ-UHFFFAOYSA-N	abiraterone-acetate
JCP2022_051939	LVGMMVAWLISWJD-UHFFFAOYSA-N	ABT-202
JCP2022_044253	KFHYZKCRXNRKRC-UHFFFAOYSA-N	ABT-239
JCP2022_001283	AGPIHNZOZNKRGT-UHFFFAOYSA-N	ABT-639
JCP2022_080003	RQCXKDWOCUJWQZ-UHFFFAOYSA-N	ABT-702
JCP2022_022503	FRPJGTNLZNXQEX-UHFFFAOYSA-N	ABT-724
JCP2022_031729	HPLNQCPCUACXLM-UHFFFAOYSA-N	ABT-737
JCP2022_090992	URCVCIZFVQDVPM-UHFFFAOYSA-N	ABT-751
JCP2022_085072	SQZJGTOZFRNWCX-UHFFFAOYSA-N	ABX-1431
JCP2022_088363	UCUHFWIFSHROPY-UHFFFAOYSA-N	AC-55541
JCP2022_042332	JVCWPUFNLFSKFS-UHFFFAOYSA-N	AC-710
JCP2022_009044	BWAKMLKESHKOHK-UHFFFAOYSA-N	AC260584
JCP2022_080664	RTRQQBHATOEIAF-UHFFFAOYSA-N	acadesine
