Metadata_JCP2022	Metadata_broad_sample	Metadata_InChIKey	Metadata_pert_iname	Metadata_pubchem_cid
JCP2022_043547	BRD-K09338665-001-07-1	KBPLFHHGFOOTCA-UHFFFAOYSA-N	1-octanol	957
JCP2022_050797	BRD-K48278478-001-01-2	LOUPRKONTZGTKE-UHFFFAOYSA-N	quinine	94175
JCP2022_050997	BRD-A85242401-001-12-3	LPYXWGMUVRGUOY-UHFFFAOYSA-N	ascorbic-acid	9888239
JCP2022_108326	BRD-K93632104-001-17-2	YGSDEFSMJLZEOE-UHFFFAOYSA-N	salicylic-acid	118212070
JCP2022_027911	BRD-K57313110-001-06-8	GUUGZPSUOTWOMD-UHFFFAOYSA-N	pidolic-acid	7405
JCP2022_100264	BRD-K25244359-066-04-9	WPEWQEMJFLWMLV-UHFFFAOYSA-N	apatinib	11315474
JCP2022_050861	BRD-K44067360-001-30-3	LPEPZBJOKDYZAD-UHFFFAOYSA-N	flufenamic-acid	3371
JCP2022_014367	BRD-K73276278-305-02-9	CYYNMPPFEJPBJD-UHFFFAOYSA-N	MCOPPB	24800108
JCP2022_071429	BRD-K59058747-001-22-9	PWKSKIMOESPYIA-UHFFFAOYSA-N	acetylcysteine	12035
JCP2022_016288	BRD-K68982262-001-02-9	DJKJVWJQAVGLHJ-UHFFFAOYSA-N	A-987306	25109291
JCP2022_091373	BRD-A20697603-001-07-2	UTBOEBCWXGDOGI-UHFFFAOYSA-N	thiostrepton	101290202
JCP2022_004940	BRD-A54139254-001-10-9	AZYDQCGCBQYFSE-UHFFFAOYSA-N	4-CMTB	4307629
JCP2022_103217	BRD-K26521938-001-07-2	XEYBRNLFEZDVAW-UHFFFAOYSA-N	dinoprostone	5280360
JCP2022_079562	BRD-K43330982-001-04-9	RNSLRQNDXRSASX-UHFFFAOYSA-N	JTE-013	10223146
JCP2022_020163	BRD-K05878375-236-05-7	FERIUCNNQQJTOY-UHFFFAOYSA-N	sodium-butyrate	264
JCP2022_099471	BRD-K51485109-001-02-9	WLBUICQBNZXIDJ-UHFFFAOYSA-N	LDN-27219	1150683
JCP2022_048971	BRD-A15397381-001-02-5	LEVWYRKDKASIDU-UHFFFAOYSA-N	L-Cystine	24798687
JCP2022_060649	BRD-K15502390-001-19-1	NQDJXKOVJZTUJA-UHFFFAOYSA-N	nevirapine	4463
JCP2022_061421	BRD-A43005764-003-02-9	NUIKTBLZSPQGCP-UHFFFAOYSA-N	CYM-5442	25110406
JCP2022_030713	BRD-K38512030-001-01-7	HJYYPODYNSCCOU-UHFFFAOYSA-N	rifamycin	6324616
JCP2022_042261	BRD-K50720187-050-09-0	JUUFBMODXQKSTD-UHFFFAOYSA-N	flupirtine	53276
JCP2022_113600	BRD-K02554563-001-01-6	ZIUDADZJCKGWKR-UHFFFAOYSA-N	PF-05190457	58438464
JCP2022_001890	BRD-K68567222-001-02-0	AJVXVYTVAAWZAP-UHFFFAOYSA-N	BVT-948	6604934
JCP2022_061654	BRD-K81801188-001-02-8	NVRXTLZYXZNATH-UHFFFAOYSA-N	PP-121	24905142
JCP2022_093289	BRD-K08953028-001-09-6	VDQLKIBLTMPAHI-UHFFFAOYSA-N	U-0521	21632
JCP2022_115963	BRD-K47598052-001-14-1	ZVPDNRVYHLRXLX-UHFFFAOYSA-N	PP-1	1400
JCP2022_079617	BRD-K37602296-001-02-9	ROBYKNONIPZMTK-UHFFFAOYSA-N	NS-309	11637204
JCP2022_111730	BRD-K60659193-001-01-0	YYOOFJZTRCPVFD-UHFFFAOYSA-N	CVT-10216	23661666
JCP2022_067887	BRD-A07207424-001-15-9	PDMUULPVBYQBBK-UHFFFAOYSA-N	Ro-20-1724	5087
